CustomerID,date,recency,Frequency,Monetary,R,F,M,target,churn_flag
16726,18-02-2011 13:29,25,5,1382.02,3,3,3,2,0
14129,24-03-2011 08:44,1,5,1123.86,1,3,3,2,0
17841,03-08-2011 11:58,1,124,40991.57,1,1,1,2,0
12526,17-10-2011 09:37,0,3,1316.66,1,3,3,2,0
12716,29-07-2011 13:28,3,2,1053.49,1,4,4,2,0
15808,06-02-2011 14:33,305,4,3734.97,4,3,2,2,0
12748,15-06-2011 13:25,0,210,33719.73,1,1,1,2,0
13521,08-12-2011 13:50,0,3,1093.65,1,3,4,2,0
16150,02-12-2010 18:27,42,5,2053.02,3,3,3,2,0
12757,06-10-2011 14:59,15,13,7857.1,2,2,1,2,0
12451,19-01-2011 09:05,10,5,9035.52,2,3,1,2,0
18096,13-10-2011 13:35,11,3,911.15,2,3,4,2,0
14140,06-12-2011 09:05,3,2,935.05,1,4,4,2,0
17097,09-12-2010 14:55,1,8,954.42,1,2,4,2,0
15749,18-04-2011 13:20,234,3,44534.3,4,3,1,2,0
12714,25-08-2011 09:55,8,5,4708.86,2,3,2,2,0
13969,21-04-2011 18:22,6,18,9053.94,2,1,1,2,0
16374,22-03-2011 13:46,65,2,473.03,4,4,4,2,0
14723,29-11-2011 15:23,9,6,1158.3,2,3,3,2,0
16550,07-06-2011 13:35,108,5,2298.97,4,3,3,2,0
16007,23-10-2011 11:05,47,4,1701.94,4,3,3,2,0
17107,07-07-2011 18:56,32,6,10815.43,3,3,1,2,0
15907,16-06-2011 12:45,3,3,967.45,1,3,4,2,0
13486,03-08-2011 13:10,77,3,1122.41,4,3,3,2,0
12478,06-12-2011 09:56,3,1,680.99,1,4,4,2,0
14651,03-10-2011 15:52,66,2,654.6,4,4,4,2,0
14868,01-07-2011 10:39,2,8,2953.59,1,2,2,2,0
13649,08-12-2010 14:46,256,2,346.6,4,4,4,2,0
13846,14-12-2010 16:07,24,3,865.06,3,3,4,2,0
17646,04-05-2011 13:17,218,3,1008.39,4,3,4,2,0
14156,29-06-2011 10:50,9,55,117379.63,2,1,1,2,0
16126,08-06-2011 14:57,28,4,6287.77,3,3,1,2,0
12442,06-12-2011 14:22,2,1,172.06,1,4,4,2,0
15484,22-09-2011 13:31,0,4,3594.31,1,3,2,2,0
15841,05-05-2011 14:37,72,4,1224.06,4,3,3,2,0
12451,18-11-2011 09:58,10,5,9035.52,2,3,1,2,0
17728,06-12-2011 08:52,3,3,2876.01,1,3,2,2,0
17858,17-10-2011 12:33,5,12,5155.66,2,2,2,2,0
12477,31-08-2011 09:11,22,6,13219.74,3,3,1,2,0
14662,11-11-2011 12:13,28,4,771.17,3,3,4,2,0
14441,27-10-2011 14:27,0,4,1712.89,1,3,3,2,0
15932,15-03-2011 13:28,3,8,2495.87,1,2,3,2,0
16121,13-10-2011 12:59,56,2,867.11,4,4,4,2,0
17188,28-01-2011 12:48,10,7,2474.23,2,2,3,2,0
15367,13-10-2011 14:10,56,4,1877.59,4,3,3,2,0
17090,12-09-2011 15:01,3,7,2043.95,1,2,3,2,0
15907,13-05-2011 13:01,3,3,967.45,1,3,4,2,0
12451,29-11-2011 08:40,10,5,9035.52,2,3,1,2,0
14085,17-06-2011 16:07,1,18,4448.54,1,1,2,2,0
17107,25-09-2011 14:37,32,6,10815.43,3,3,1,2,0
12451,05-05-2011 17:34,10,5,9035.52,2,3,1,2,0
16274,01-12-2010 15:35,372,1,357.95,4,4,4,2,0
17673,23-01-2011 15:16,1,6,1629.12,1,3,3,2,0
14753,13-09-2011 14:50,86,1,563.15,4,4,4,2,0
18139,21-11-2011 14:47,17,6,8438.34,3,3,1,2,0
17864,11-09-2011 13:39,12,3,597.5,2,3,4,2,0
12451,19-01-2011 09:05,10,5,9035.52,2,3,1,2,0
16214,15-03-2011 13:23,170,3,1062.75,4,3,4,2,0
16182,28-09-2011 13:23,71,4,6617.65,4,3,1,2,0
12536,11-10-2011 14:52,42,3,12601.83,3,3,1,2,0
16779,25-08-2011 10:32,1,22,10629.72,1,1,1,2,0
13131,16-11-2011 13:21,22,3,1073.3,3,3,4,2,0
14862,14-07-2011 11:20,25,2,841.2,3,4,4,2,0
16910,07-10-2011 13:16,3,8,1510.06,1,2,3,2,0
15311,18-04-2011 14:50,0,91,60767.9,1,1,1,2,0
16084,13-02-2011 16:05,298,1,436.18,4,4,4,2,0
18139,21-11-2011 15:53,17,6,8438.34,3,3,1,2,0
12885,08-08-2011 11:45,62,3,1175.22,4,3,3,2,0
13495,06-12-2010 15:14,7,5,2044.87,2,3,3,2,0
12536,11-10-2011 14:52,42,3,12601.83,3,3,1,2,0
12518,11-11-2011 11:18,0,5,2056.89,1,3,3,2,0
16837,08-11-2011 14:27,30,11,3170.98,3,2,2,2,0
12477,31-08-2011 09:11,22,6,13219.74,3,3,1,2,0
